Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Ethiopia,Proportion of population using piped drinking water sources,Total,2016,34.852417,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using piped drinking water sources,Total,2017,36.031376,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using safely managed drinking water services,Total,2016,10.868258,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using safely managed drinking water services,Total,2017,11.444773,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using surface water,Total,2016,9.9929543,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using surface water,Total,2017,8.6010561,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using unimproved drinking water sources,Total,2016,23.639814,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using unimproved drinking water sources,Total,2017,22.498795,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using at least basic sanitation services,Total,2016,7.0907402,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using at least basic sanitation services,Total,2017,7.3163328,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using improved sanitation facilities,Total,2016,14.175011,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using improved sanitation facilities,Total,2017,14.680179,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using improved latrines and other improved facilities,Total,2016,10.943264,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using improved latrines and other improved facilities,Total,2017,11.277444,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using limited sanitation services,Total,2016,7.084271,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using limited sanitation services,Total,2017,7.3638453,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population practising open defecation,Total,2016,25.577423,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population practising open defecation,Total,2017,22.350292,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using sanitation facilities connected to septic tanks,Total,2016,2.1229246,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using sanitation facilities connected to septic tanks,Total,2017,2.2638528,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using sanitation facilities connected to sewer networks,Total,2016,1.108822,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using sanitation facilities connected to sewer networks,Total,2017,1.1388822,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using unimproved sanitation facilites,Total,2016,60.247566,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population using unimproved sanitation facilites,Total,2017,62.969528,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population with a handwashing facility with soap and water available at home,Total,2016,7.8746557,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population with a handwashing facility with soap and water available at home,Total,2017,7.9603896,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population with a limited handwashing facility,Total,2016,51.458656,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population with a limited handwashing facility,Total,2017,51.490353,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population with no handwashing facility at home,Total,2016,40.666687,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of population with no handwashing facility at home,Total,2017,40.549259,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2019),,,,,,Total
Ethiopia,Proportion of health care facilities with no hygiene service,Total,2019,1.9742059,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020) WASH in Health Care Facilities,,,,,,Total
Ethiopia,Proportion of health care facilities with limited sanitation services,Total,2019,16.59,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020) WASH in Health Care Facilities,,,,,,Total
Ethiopia,Proportion of health care facilities with no water service,Total,2019,33.600689,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020) WASH in Health Care Facilities,,,,,,Total
Ethiopia,Proportion of health care facilities with basic sanitation services,Total,2019,59.25,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020) WASH in Health Care Facilities,,,,,,Total
Ethiopia,Proportion of health care facilities with basic health care waste management services,Total,2019,64.331886,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020) WASH in Health Care Facilities,,,,,,Total
Ethiopia,Proportion of health care facilities with no sanitation service,Total,2019,24.16,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020) WASH in Health Care Facilities,,,,,,Total
Ethiopia,Proportion of health care facilities with limited water services,Total,2019,36.399311,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020) WASH in Health Care Facilities,,,,,,Total
Ethiopia,Proportion of health care facilities with basic water services,Total,2019,30,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020) WASH in Health Care Facilities,,,,,,Total
Ethiopia,Proportion of schools with basic drinking water services,Total,2019,15.486976,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020),,,,,,Total
Ethiopia,Proportion of schools with limited drinking water services,Total,2019,8.1398783,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020),,,,,,Total
Ethiopia,Proportion of schools with no drinking water service,Total,2019,76.373146,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020),,,,,,Total
Ethiopia,Proportion of schools with basic hygiene services,Total,2019,5.3961334,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020),,,,,,Total
Ethiopia,Proportion of schools with limited hygiene services,Total,2019,14.728207,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020),,,,,,Total
Ethiopia,Proportion of schools with no hygiene service,Total,2019,79.875656,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020),,,,,,Total
Ethiopia,Proportion of schools with basic sanitation services,Total,2019,40.486942,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020),,,,,,Total
Ethiopia,Proportion of schools with limited sanitation services,Total,2019,20.083826,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020),,,,,,Total
Ethiopia,Proportion of schools with no sanitation service,Total,2019,39.42923,,%,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2020),,,,,,Total
